,生育場所,,,,,"花期
（月）",特記,学名,標準和名,記載分布,,,,,,,,
33,,,,○,○,4〜5,,Ranunculus sceleratus Linn.  ,タガラシ,(全),互生,"根生葉は腎形、掌状に3〜5中〜深裂し、裂片はさらに3〜5浅裂
茎葉は、3深裂し、裂片は時に2深裂",全縁,総状,5,黄色,毒,
34,,,,○,○,5〜7,,Ranunculus ternatus Thunb.  ,キツネノボタン,(全),互生,3出複葉。小葉は卵形、3深裂。上部の葉は単純3深裂,ふぞろいな鋸歯,総状,5,黄色,毒,
35,,,,○,○,5〜7,,Ranunculus cantoniensis DC.  ,ケキツネノボタン,(高)(益),互生,1〜2回3出複葉。小葉は倒卵形、2〜3中裂。上部の葉は1回3出複葉または単に3中裂。,ふぞろいな鋸歯,総状,5,黄色,毒,
36,○,○,,○,,通年,絶滅危惧泓ﾞ(Ｂ),Ranunculus kazusensis (Makino) ,ヒメバイカモ,(吉),互生,３出複葉で扇状に細裂、各小葉はさらに２裂して最終裂片は糸状,,総状,5,黄色,食,
37,,,,,○（海岸）,10〜11,,Litsea japonica (Thunb.) Juss. ,ハマビワ,(海),,楕円形,全縁,散形,6裂,白色,不明,
38,,,,,○砂浜,4〜6,,Raphanus sativus Linn. var. raphanistroides(Makino) Makino　,ハマダイコン,(海),根生。茎葉は互生,羽状裂葉。上部の葉は羽裂しない,粗く耳裂,総状,4,紫色,食,
39,,,,,○,3〜5,,Cardamine flexuosa With.　,タネツケバナ,(全),互生,羽状裂葉。側小葉は狭長楕円形〜倒卵形,全縁または浅く1〜2裂,総状,4,白色,食,
40,,,,,○,5〜6,,Cardamine leucantha (Tausch) O.E. Schulz　,コンロンソウ,(椛),互生,奇数羽状複葉。小葉は長楕円状披針形,粗くふぞろいな鋸歯,複総状,4,白色,不明,
41,,,,,○,5〜8,,Cardamine Caraamine flexuosa With. var. latifolia Makino,ミズタネツケバナ,(益),互生,羽状裂葉。側小葉は腎円形〜心円形または円形,不規則で粗い鋸歯,総状,4,白色,食,
42,,,,○,○,3〜4,,Wasabia japonica (Miquel) Matsum.　,ワサビ,(匹),不規則な螺旋状〜互生,円形ないし心臓形,不規則で粗い鋸歯,総状,4,白色,食,
43,,,,○,○,4〜6,外来,Nasturtium officinale R. Br.　,オランダガラシ ,(津),互生,奇数羽状複葉。小葉は卵形〜楕円形,全縁〜波状,総状,4,白色,食,
44,,,,,○砂浜,4〜6,,Arabis stelleri DC. var. japonica (A. Gray) Fr. Schm.,ハマハタザオ,(海),互生,へら形〜長楕円形,上部に浅い鋸歯,総状,4,白色,不明,
45,,,,,○,4〜6,,Arabis glabra (Linn.) Bernh.　,ハタザオ,(匹)(津),互生,根出葉は倒披針形、茎葉は楕円形〜披針形で基部は矢尻状,普通全縁、ときに低鋸歯縁,総状,4,白色,不明,
